============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  1 mm) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 .5394672E+07   1000001E+01 -.4835E+04  .3491E+04   .9999984 -.0017787 -.0003610
T    2  2 .5391631E+07   1000003E+01  .1168E+04 -.6761E+04   .9999913  .0017394 -.0037841
T    3  2 .5391794E+07   1000001E+01 -.3444E+04 -.2960E+04   .9999996  .0006911  .0005567
T    4  2 .5393375E+07   1000001E+01 -.3238E+05 -.1428E+05   .9999787 -.0057311 -.0031241
T    5  2 .5396027E+07   1000000E+01 -.2347E+05  .1006E+05   .9999870 -.0050676 -.0005054
T    6  2 .5388876E+07   1000002E+01  .3933E+04 -.1851E+04   .9999950  .0027984 -.0014760
T    7  2 .5393259E+07   1000000E+01  .1043E+05 -.6393E+04   .9999975  .0014573 -.0016845
T    8  2 .5406500E+07   1000000E+01 -.2323E+03  .5061E+03   .9999997 -.0005619  .0006173
T    9  2 .5395291E+07   1000002E+01 -.7295E+04 -.1150E+05   .9999868 -.0028722 -.0042666
T   10  2 .5382070E+07   1000002E+01 -.8402E+04 -.2738E+04   .9999999 -.0000728  .0001993
T   11  2 .5377161E+07   1000001E+01 -.9288E+04  .2233E+03   .9999984 -.0017445 -.0003663
T   12  2 .5393476E+07   1000002E+01  .5449E+04 -.5646E+04   .9999938  .0032291 -.0013900
T   13  2 .5392671E+07   1000002E+01  .2247E+04 -.7077E+04   .9999971  .0000678 -.0024110
T   14  2 .5394123E+07   1000001E+01 -.1037E+05  .8313E+04   .9999952 -.0027517  .0014265
T   15  2 .5385985E+07   1000002E+01 -.3242E+04  .1016E+04   .9999970 -.0024345  .0000031
T   16  2 .5388784E+07   1000002E+01  .1646E+04 -.6575E+04   .9999996  .0008262 -.0003623
T   17  2 .5389785E+07   1000001E+01 -.3125E+04 -.9260E+03   .9999987 -.0014914  .0005872
T   18  2 .5396521E+07   1000002E+01  .4443E+04 -.1269E+04   .9999920  .0019545  .0034799
T   19  2 .5395298E+07   1000003E+01  .8801E+04  .5867E+04   .9999991  .0012007  .0006606
T   20  2 .5395253E+07   1000003E+01 -.1544E+04 -.5356E+04   .9999937 -.0013649 -.0032855
T   21  2 .5398286E+07   1000001E+01 -.1091E+05 -.1194E+04   .9999894 -.0045719 -.0004967
T   22  2 .5390689E+07   1000001E+01  .4789E+03  .6568E+04   .9999999  .0000097  .0000586
T   23  2 .5391175E+07   1000002E+01 -.3952E+04  .4101E+04   .9999929  .0019969  .0031819
T   24  2 .5401053E+07   1000002E+01 -.1192E+04 -.2367E+04   .9999882  .0048580  .0000634
T   25  2 .5394431E+07   1000001E+01  .5710E+04 -.4126E+03   .9999920  .0036278 -.0016588
T   26  2 .5401329E+07   1000001E+01  .8366E+03  .1395E+05   .9999989  .0007861  .0012741
T   27  2 .5395162E+07   1000002E+01 -.4399E+03 -.7055E+04   .9999945  .0009308 -.0031749
T   28  2 .5393146E+07   1000002E+01  .3219E+04  .3909E+04   .9999999  .0005020  .0000334
T   29  2 .5388989E+07   1000001E+01 -.2926E+04  .6576E+04   .9999985 -.0013746  .0010968
T   30  2 .5404080E+07   1000001E+01  .2667E+05 -.7424E+04   .9999788  .0061727 -.0020956
T   31  2 .5402572E+07   1000000E+01  .5361E+04  .3824E+04   .9999961 -.0021368 -.0017930
T   32  2 .5395959E+07   1000001E+01  .1696E+05  .4039E+04   .9999925  .0038409 -.0003924
T   33  2 .5401643E+07   1000002E+01 -.2145E+03  .6415E+04   .9999954 -.0000298  .0030314
T   34  2 .5397443E+07   1000001E+01  .1124E+05  .2729E+04   .9999995  .0001467  .0010128
T   35  2 .5392661E+07   1000002E+01  .1408E+04 -.1745E+04   .9999993  .0008119 -.0008659
T   36  2 .5393808E+07   1000002E+01 -.1887E+05  .8564E+04   .9999793 -.0058970  .0025834
T   37  2 .5383869E+07   1000001E+01 -.2591E+05  .9031E+04   .9999587 -.0088468  .0020780
T   38  2 .5390404E+07   1000001E+01 -.2431E+04 -.3015E+04   .9999958  .0007520 -.0028030
T   39  2 .5396359E+07   1000001E+01 -.2362E+04 -.1052E+04   .9999976 -.0008291 -.0020153
T   40  2 .5391261E+07   1000001E+01  .1364E+05 -.1293E+05   .9999460  .0090807 -.0050485
T   41  2 .5386933E+07   1000000E+01  .9081E+04 -.8176E+04   .9999956  .0026837 -.0012310
T   42  2 .5390177E+07   1000001E+01 -.3521E+04 -.2249E+04   .9999982 -.0012624 -.0014103
T   43  2 .5407344E+07   1000000E+01  .9683E+04  .2172E+04   .9999960  .0025324  .0012242
T   44  2 .5401140E+07   1000002E+01 -.6832E+04 -.3092E+03   .9999966 -.0026060  .0000741
T   45  2 .5384949E+07   1000003E+01  .1482E+05 -.2189E+05   .9999917 -.0001092 -.0040683
T   46  2 .5388506E+07   1000002E+01 -.6970E+03 -.3358E+04   .9999992 -.0010856 -.0007077
T   47  2 .5393677E+07   1000003E+01  .6038E+02 -.1080E+05   .9999969  .0013053 -.0021405
T   48  2 .5395506E+07   1000000E+01  .4836E+04  .7793E+02   .9999980 -.0010380  .0016861
T   49  2 .5392352E+07   1000001E+01  .3436E+03  .3807E+04   .9999972  .0003707  .0023452
T   50  2 .5389389E+07   1000001E+01  .1105E+05  .3327E+04   .9999904  .0038688  .0020464
T   51  2 .5386326E+07   1000002E+01  .1332E+04  .2293E+04   .9999969  .0019922  .0015187
T   52  2 .5396401E+07   1000002E+01  .1291E+05  .5571E+04   .9999995  .0009365 -.0001734
T   53  2 .5389990E+07   1000001E+01  .4282E+04 -.1645E+04   .9999987  .0013667  .0008955
T   54  2 .5391678E+07   1000000E+01 -.1217E+05 -.5989E+04   .9999905 -.0042997 -.0006441
T   55  2 .5391433E+07   1000002E+01 -.1426E+04  .2354E+03   .9999995  .0001984 -.0009535
T   56  2 .5399269E+07   1000003E+01 -.7701E+04  .9284E+04   .9999927 -.0030198  .0023270
T   57  2 .5394722E+07   1000000E+01 -.2059E+04  .1916E+04   .9999994 -.0010694 -.0001387
T   58  2 .5391189E+07   1000003E+01 -.4566E+04  .1966E+04   .9999976 -.0021039 -.0006548
T   59  2 .5394547E+07   1000002E+01  .4854E+04  .6734E+04   .9999976  .0012127  .0018094
T   60  2 .5391539E+07   1000002E+01  .7449E+03 -.1411E+05   .9999949 -.0010433 -.0030342
T   61  2 .5387281E+07   1000002E+01 -.1294E+05  .2243E+05   .9999869 -.0015683  .0048781
T   62  2 .5396638E+07   1000003E+01 -.1234E+04 -.1769E+05   .9999917 -.0003708 -.0040598
T   63  2 .5391948E+07   1000001E+01  .9976E+04 -.5135E+04   .9999910  .0041841 -.0007058
T   64  2 .5390608E+07   1000002E+01  .1168E+05 -.3034E+04   .9999974  .0022691  .0000806
T   65  2 .5384986E+07   1000002E+01  .2327E+04  .7005E+03   .9999995  .0009890  .0002899
T   66  2 .5389524E+07   1000002E+01 -.3954E+04 -.7230E+04   .9999981 -.0009208 -.0017408
T   67  2 .5387428E+07   1000002E+01  .6393E+04 -.1233E+05   .9999886  .0032016 -.0035420
T   68  2 .5398230E+07   1000002E+01  .5599E+04  .5061E+04   .9999985  .0017444 -.0000436
T   69  2 .5396183E+07   1000002E+01  .1788E+04  .9480E+04   .9999988  .0009301  .0012447
T   70  2 .5402126E+07   1000002E+01  .2201E+04 -.7343E+04   .9999968 -.0008157 -.0023970
T   71  2 .5392096E+07   1000002E+01  .5390E+04  .4150E+04   .9999964  .0022861  .0014197
T   72  2 .5396506E+07   1000000E+01  .7042E+04  .1897E+04   .9999978  .0016547  .0012648
T   73  2 .5381836E+07   1000000E+01 -.7994E+04  .3184E+05   .9999848 -.0016117  .0052727
T   74  2 .5402765E+07   1000002E+01  .1518E+04  .2132E+04   .9999995  .0008181  .0005336
T   75  2 .5393227E+07   1000001E+01 -.4265E+04 -.1445E+04   .9999964 -.0025055 -.0009193
T   76  2 .5392417E+07   1000001E+01 -.3320E+04 -.2529E+04   .9999990 -.0010230 -.0010248
T   77  2 .5395425E+07   1000001E+01  .2365E+04  .4899E+04   .9999997 -.0007980 -.0001857
T   78  2 .5404884E+07   1000002E+01 -.7921E+04 -.4017E+04   .9999887 -.0042257 -.0021988
T   79  2 .5399688E+07   1000001E+01 -.2475E+04  .1944E+04   .9999997 -.0007262  .0003475
T   80  2 .5391976E+07   1000001E+01  .1230E+05 -.1170E+04   .9999963  .0026195 -.0006990
T   81  2 .5397024E+07   1000001E+01 -.4667E+04  .1541E+04   .9999983 -.0018447  .0000246
T   82  2 .5382605E+07   1000000E+01 -.1998E+03 -.3275E+04   .9999996  .0000378 -.0008647
T   83  2 .5398604E+07   1000002E+01 -.1087E+05  .1320E+05   .9999892 -.0024435  .0039539
T   84  2 .5381655E+07   1000001E+01 -.4009E+03 -.4571E+04   .9999981 -.0000465 -.0019337
T   85  2 .5397827E+07   1000002E+01 -.8578E+04 -.1421E+05   .9999920 -.0022063 -.0033332
T   86  2 .5397744E+07   1000003E+01  .4544E+04  .1750E+04   .9999978  .0015820 -.0013842
T   87  2 .5398747E+07   1000000E+01 -.5072E+04  .1181E+05   .9999940 -.0012282  .0032364
T   88  2 .5390118E+07   1000002E+01 -.8628E+03 -.8247E+03   .9999999 -.0003102 -.0003119
T   89  2 .5394806E+07   1000001E+01  .2448E+04  .8578E+04   .9999991  .0012504  .0004547
T   90  2 .5389718E+07   1000002E+01 -.1467E+05  .1029E+04   .9999949 -.0030943 -.0008453
T   91  2 .5389819E+07   1000000E+01 -.6216E+04 -.8492E+04   .9999951 -.0031196  .0002260
T   92  2 .5390661E+07   1000001E+01  .3314E+04  .1499E+04   .9999969  .0024848  .0000330
T   93  2 .5393105E+07   1000001E+01 -.7162E+04  .1968E+04   .9999930 -.0032964 -.0017449
T   94  2 .5385374E+07   1000001E+01 -.9697E+04  .6149E+04   .9999994 -.0008820  .0005729
T   95  2 .5389035E+07   1000002E+01  .2969E+04 -.4627E+03   .9999999  .0002418 -.0001123
T   96  2 .5394386E+07   1000002E+01 -.2888E+04  .8092E+04   .9999919  .0012006  .0038390
T   97  2 .5392524E+07   1000001E+01 -.1454E+04  .2979E+04   .9999994  .0008374 -.0007280
T   98  2 .5390949E+07   1000000E+01 -.2103E+03 -.3429E+04   .9999984 -.0001188 -.0017926
T   99  2 .5400741E+07   1000001E+01 -.2190E+04  .2551E+04   .9999992  .0009316  .0008210
T  100  2 .5390891E+07   1000002E+01  .4133E+04  .9214E+03   .9999998  .0006871  .0001225
T  101  2 .5398305E+07   1000001E+01 -.6515E+04 -.5254E+04   .9999962 -.0022855 -.0015603
T  102  2 .5392811E+07   1000001E+01  .9734E+04  .9873E+04   .9999948  .0015250  .0028352
T  103  2 .5392962E+07   1000002E+01 -.2786E+04 -.6543E+04   .9999989  .0010147 -.0011143
T  104  2 .5396621E+07   1000002E+01  .2100E+05  .1307E+05   .9999876  .0041889  .0027024
T  105  2 .5395461E+07   1000003E+01 -.2473E+03  .7059E+04   .9999968  .0002283  .0025036
T  106  2 .5382262E+07   1000001E+01 -.4345E+04 -.1567E+05   .9999950 -.0017779 -.0026304
T  107  2 .5392517E+07   1000000E+01 -.2996E+04 -.7746E+03   .9999999 -.0003520 -.0000372
T  108  2 .5395613E+07   1000002E+01 -.3635E+03 -.6557E+04   .9999966 -.0015260 -.0021120
T  109  2 .5392385E+07   1000002E+01 -.5238E+04  .9140E+03   .9999986 -.0015911 -.0006058
T  110  2 .5399593E+07   1000002E+01  .4589E+04 -.5153E+04   .9999991  .0001219 -.0013567
T  111  2 .5384280E+07   1000001E+01  .8481E+03  .5803E+04   .9999990  .0000453  .0014477
