============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  20 mm) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 .3338112E+07   2000000E+02 -.1238E+07 -.9888E+06   .9997887 -.0164646 -.0123103
T    2  2 .3408944E+07   2000000E+02  .3655E+06  .1439E+06   .9999757  .0068019 -.0015010
T    3  2 .3314841E+07   2000000E+02  .8837E+05  .8878E+06   .9996478 -.0023904  .0264294
T    4  2 .3311062E+07   2000000E+02 -.2490E+06  .7689E+06   .9999801 -.0062409  .0008783
T    5  2 .3393420E+07   2000000E+02 -.4433E+06  .1888E+07   .9999612 -.0043976  .0076298
T    6  2 .3318686E+07   2000000E+02  .1196E+07  .1098E+07   .9998928  .0002604  .0146380
T    7  2 .3235520E+07   2000000E+02 -.1740E+07 -.1903E+07   .9523210  .2914566 -.0902092
T    8  2 .3357426E+07   2000000E+02 -.2521E+07  .2003E+07   .9997576 -.0134971  .0173929
T    9  2 .3382257E+07   2000000E+02 -.1063E+07  .2979E+07   .9998013 -.0045120  .0194156
T   10  2 .3332599E+07   2000000E+02  .4206E+06  .1105E+07   .9999793  .0064232  .0003058
T   11  2 .3386071E+07   2000000E+02 -.1192E+07  .6944E+06   .9998958 -.0105836  .0098204
T   12  2 .3378855E+07   2000000E+02 -.3571E+06  .1202E+07   .9998934 -.0095984  .0110023
T   13  2 .3282046E+07   2000000E+02  .1597E+07  .1064E+07   .9995831  .0261688  .0121996
T   14  2 .3273034E+07   2000000E+02  .9171E+06 -.2590E+07   .9993396  .0198051 -.0304648
T   15  2 .3322079E+07   2000000E+02 -.1423E+07  .1013E+07   .9998370 -.0143960  .0108997
T   16  2 .3352509E+07   2000000E+02  .3761E+06 -.2995E+07   .9996113  .0063379 -.0271491
T   17  2 .3362590E+07   2000000E+02 -.8455E+06 -.6298E+06   .9999063 -.0135194  .0021383
T   18  2 .3317359E+07   2000000E+02  .1378E+07 -.3199E+06   .9997310  .0230630  .0024545
T   19  2 .3372571E+07   2000000E+02 -.1316E+07  .2681E+06   .9995642 -.0289859  .0055867
T   20  2 .3349861E+07   2000000E+02  .7889E+06  .5076E+06   .9995721  .0276230  .0096235
T   21  2 .3324374E+07   2000000E+02 -.2897E+07 -.3746E+06   .9997386 -.0209903 -.0090606
T   22  2 .3331815E+07   2000000E+02  .4462E+06  .4000E+06   .9999259  .0059460  .0106230
T   23  2 .3298929E+07   2000000E+02  .5595E+05  .3546E+06   .9998236  .0083594  .0168206
T   24  2 .3351354E+07   2000000E+02 -.7212E+06 -.1576E+06   .9999550 -.0081437  .0048636
T   25  2 .3326594E+07   2000000E+02  .7367E+06 -.4082E+07   .9995231  .0072393 -.0300191
T   26  2 .3386273E+07   2000000E+02  .4827E+07  .4627E+07   .9987851  .0333441  .0362845
T   27  2 .3390580E+07   2000000E+02  .5881E+07  .2006E+06   .9970679  .0723140  .0250249
T   28  2 .3290916E+07   2000000E+02  .2657E+07 -.3481E+07   .9993987  .0136560 -.0318705
T   29  2 .3350604E+07   2000000E+02 -.1568E+07  .9607E+06   .9998803 -.0093457  .0123317
T   30  2 .3333332E+07   2000000E+02  .2118E+06  .2074E+07   .9993426  .0070553  .0355601
T   31  2 .3338619E+07   2000000E+02  .4125E+07  .7101E+07   .9916214  .0529957  .1178069
T   32  2 .3366543E+07   2000000E+02  .3010E+07  .5123E+06   .9997909  .0192046  .0070189
T   33  2 .3338640E+07   2000000E+02  .1957E+07 -.3472E+06   .9989114  .0370601 -.0283293
T   34  2 .3304756E+07   2000000E+02  .1077E+07 -.2791E+07   .9994853  .0164891 -.0275163
T   35  2 .3291590E+07   2000000E+02 -.9094E+06  .2045E+07   .9999136 -.0044743  .0123585
T   36  2 .3404608E+07   2000000E+02 -.3819E+06  .9817E+06   .9998865 -.0052303  .0141279
T   37  2 .3338439E+07   2000000E+02  .2547E+07 -.1430E+07   .9990281  .0221599 -.0381033
T   38  2 .3333255E+07   2000000E+02  .4451E+06  .2303E+07   .9996692  .0087120  .0242010
T   39  2 .3351919E+07   2000000E+02  .2782E+07  .7153E+04   .9996885  .0249393  .0009931
T   40  2 .3299331E+07   2000000E+02 -.1914E+07 -.2476E+07   .9996668 -.0141636 -.0215800
T   41  2 .3334341E+07   2000000E+02  .1684E+07  .1459E+07   .9998951  .0114271  .0089012
T   42  2 .3327104E+07   2000000E+02  .1583E+07 -.8527E+06   .9997816  .0119266 -.0171638
T   43  2 .3348020E+07   2000000E+02  .1473E+07 -.7834E+06   .9998404  .0132275 -.0120082
T   44  2 .3336171E+07   2000000E+02 -.2141E+07 -.1501E+07   .9999172 -.0086186 -.0095540
T   45  2 .3353147E+07   2000000E+02 -.2758E+07 -.6077E+06   .9997193 -.0223465 -.0078668
