============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  12 um) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 .3392011E+07   1200007E-01 -.1094E+04 -.9430E+03   .9995983 -.0196202 -.0204501
T    2  2 .3471034E+07   1200025E-01  .6092E+03 -.5475E+02   .9999358  .0112920 -.0009230
T    3  2 .3336269E+07   1200019E-01  .1069E+04  .2285E+03   .9998921  .0112838 -.0094004
T    4  2 .3388552E+07   1200002E-01  .6988E+03 -.3808E+02   .9997226  .0211781  .0103075
T    5  2 .3323421E+07   1200022E-01 -.1321E+04 -.2115E+02   .9997960 -.0118958  .0163257
T    6  2 .3440743E+07   1200008E-01  .2673E+04 -.1730E+04   .9986462  .0357826 -.0377553
T    7  2 .3459556E+07   1200011E-01  .9648E+03  .6343E+03   .9996293  .0249897 -.0108083
T    8  2 .3381044E+07   1200007E-01  .3041E+03  .6065E+03   .9996051  .0136138  .0245811
T    9  2 .3442595E+07   1200016E-01 -.2228E+03 -.5638E+03   .9999481 -.0057480 -.0084108
T   10  2 .3453550E+07   1200006E-01  .6936E+03 -.9700E+03   .9997879 -.0056639 -.0197996
T   11  2 .3410472E+07   1200025E-01  .1069E+04 -.1877E+03   .9998969  .0087637  .0113744
T   12  2 .3448204E+07   1200013E-01 -.1093E+04  .4580E+03   .9998665 -.0132561 -.0095500
T   13  2 .3437625E+07   1200017E-01 -.2146E+03  .1180E+04   .9997902 -.0120290  .0165771
T   14  2 .3441947E+07   1200001E-01 -.2252E+04  .2214E+03   .9993682 -.0345414 -.0083752
T   15  2 .3381840E+07   1200024E-01  .2039E+04  .1587E+04   .9994318  .0236390  .0240267
T   16  2 .3349939E+07   1200003E-01 -.3823E+04  .2797E+04   .9939707 -.0841907  .0702439
T   17  2 .3400808E+07   1200004E-01 -.9810E+02  .1663E+04   .9997028 -.0048909  .0238834
T   18  2 .3419901E+07   1200019E-01 -.2986E+03  .8336E+03   .9999116  .0084934  .0102349
T   19  2 .3403325E+07   1200025E-01  .1645E+04 -.9502E+03   .9986966  .0405879 -.0309460
T   20  2 .3386078E+07   1200018E-01  .2261E+04 -.1570E+04   .9994305  .0198759 -.0272706
T   21  2 .3363562E+07   1200020E-01  .5422E+02 -.2705E+03   .9999948  .0000419  .0032135
T   22  2 .3422970E+07   1200000E-01 -.1139E+04 -.1592E+04   .9998392 -.0107934 -.0143227
T   23  2 .3383829E+07   1200001E-01  .1442E+02 -.9176E+03   .9999531 -.0016934 -.0095386
T   24  2 .3452573E+07   1200017E-01 -.2532E+04 -.3026E+04   .9976989 -.0571565 -.0364699
T   25  2 .3355284E+07   1200025E-01  .1242E+04 -.7793E+03   .9997793  .0066346 -.0199354
T   26  2 .3415480E+07   1200003E-01 -.1891E+03  .9111E+03   .9997840  .0074590  .0193980
T   27  2 .3360576E+07   1200002E-01  .1934E+04  .2969E+03   .9991842  .0305585  .0264038
T   28  2 .3324150E+07   1200011E-01 -.4040E+04  .3540E+03   .9992944 -.0345077  .0148276
T   29  2 .3392521E+07   1200013E-01 -.8666E+03  .5042E+03   .9998640 -.0001168  .0164887
T   30  2 .3397228E+07   1200002E-01  .5155E+03 -.2160E+03   .9998977  .0111539  .0089573
T   31  2 .3405575E+07   1200005E-01 -.5374E+03  .5161E+03   .9994809 -.0228280  .0227323
T   32  2 .3412155E+07   1200021E-01 -.1974E+04  .2153E+03   .9998734 -.0158407  .0014967
T   33  2 .3370569E+07   1200001E-01 -.3819E+03 -.3426E+03   .9998691 -.0096603  .0129797
T   34  2 .3365432E+07   1200024E-01  .3481E+04 -.4237E+03   .9984894  .0549134 -.0018684
T   35  2 .3407797E+07   1200024E-01  .2042E+04 -.2192E+03   .9995028  .0312842 -.0039290
T   36  2 .3397174E+07   1200014E-01  .2868E+04  .6706E+03   .9974088  .0680057  .0234699
T   37  2 .3432676E+07   1200022E-01 -.3253E+04 -.1125E+04   .9996483 -.0264631 -.0017031
T   38  2 .3402951E+07   1200025E-01  .2189E+03 -.9125E+03   .9999583  .0070369 -.0058275
T   39  2 .3421969E+07   1200021E-01 -.1367E+04  .5693E+03   .9996857 -.0209696  .0137394
T   40  2 .3427638E+07   1200019E-01  .5155E+03  .7331E+02   .9999076 -.0120708 -.0062491
T   41  2 .3430924E+07   1200025E-01 -.9111E+03  .1789E+04   .9996291 -.0213965  .0168461
T   42  2 .3444871E+07   1200024E-01 -.8512E+03  .4022E+04   .9977868 -.0242800  .0619038
T   43  2 .3415989E+07   1200019E-01  .4846E+03  .4893E+03   .9999933 -.0027338 -.0024179
T   44  2 .3395859E+07   1200012E-01  .2194E+03 -.2107E+04   .9992229  .0324038 -.0224414
T   45  2 .3394062E+07   1200003E-01 -.1938E+04  .5337E+03   .9995974 -.0208384  .0192568
T   46  2 .3401729E+07   1200019E-01 -.1020E+04  .6681E+02   .9999203 -.0041072 -.0119408
T   47  2 .3337825E+07   1200012E-01  .1590E+04 -.9273E+03   .9989186  .0436059 -.0161267
T   48  2 .3390095E+07   1200024E-01  .6013E+03 -.1003E+04   .9999395  .0095458 -.0054699
T   49  2 .3361810E+07   1200011E-01  .4558E+03  .1071E+04   .9998033  .0070990  .0185207
T   50  2 .3316088E+07   1200010E-01 -.1233E+04  .2191E+04   .9993252 -.0110652  .0350256
T   51  2 .3424480E+07   1200008E-01 -.2513E+04  .6582E+03   .9992000 -.0335633  .0217456
T   52  2 .3426782E+07   1200002E-01  .1442E+04  .1565E+04   .9994999  .0247948  .0196236
T   53  2 .3450551E+07   1200018E-01  .1053E+04  .5073E+03   .9997719  .0181572  .0112477
T   54  2 .3352944E+07   1200003E-01 -.2157E+04  .3455E+02   .9995649 -.0287270 -.0066884
T   55  2 .3407401E+07   1200024E-01 -.1057E+03  .9121E+03   .9999519 -.0077615  .0059922
T   56  2 .3308968E+07   1200008E-01  .2113E+04 -.8522E+03   .9996843  .0165298 -.0189227
T   57  2 .3371613E+07   1200017E-01  .9882E+04  .2532E+04   .9906119  .1358123  .0155944
T   58  2 .3388809E+07   1200014E-01 -.8220E+03 -.7943E+03   .9997764  .0162644  .0135141
T   59  2 .3391637E+07   1200022E-01 -.3953E+03 -.1057E+03   .9999358 -.0056169 -.0098441
T   60  2 .3473736E+07   1200000E-01 -.3951E+03 -.2779E+04   .9993675  .0002852 -.0355599
T   61  2 .3425798E+07   1200019E-01 -.1734E+04  .5880E+03   .9993247 -.0357710 -.0083984
T   62  2 .3418027E+07   1200025E-01  .5330E+03 -.7343E+03   .9998075  .0139835 -.0137627
T   63  2 .3399711E+07   1200019E-01 -.7641E+03 -.6293E+03   .9997591 -.0203417  .0082464
T   64  2 .3345175E+07   1200022E-01 -.2219E+04  .2120E+04   .9989093 -.0354886  .0303432
T   65  2 .3349195E+07   1200001E-01  .8134E+03 -.4260E+02   .9999401  .0103224 -.0036287
T   66  2 .3430399E+07   1200018E-01 -.3541E+03  .4432E+03   .9995208 -.0013310  .0309248
T   67  2 .3456897E+07   1200023E-01  .8149E+03 -.1178E+04   .9996647  .0180348 -.0185781
T   68  2 .3346565E+07   1200025E-01 -.1205E+04 -.1161E+04   .9998958  .0013165 -.0143760
