============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar( 3.59 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 .5072033E+07   3600029E-02 -.1706E+03 -.4650E+01   .9999778 -.0064922 -.0014948
T    2  2 .5061645E+07   3600174E-02  .1412E+02 -.5270E+02   .9999970  .0011446 -.0021435
T    3  2 .5077755E+07   3600012E-02 -.3491E+02  .5133E+02   .9999944 -.0006148  .0032764
T    4  2 .5081196E+07   3600155E-02 -.3025E+02 -.2598E+02   .9999950 -.0029887 -.0010451
T    5  2 .5054767E+07   3600156E-02 -.2114E+03  .4108E+03   .9999049 -.0049377  .0128774
T    6  2 .5086585E+07   3600164E-02 -.4679E+02  .1842E+03   .9999244 -.0030787  .0119084
T    7  2 .5064403E+07   3600112E-02  .5597E+02  .9102E+02   .9999450  .0048346  .0093042
T    8  2 .5071166E+07   3600047E-02 -.5825E+02  .3372E+02   .9999547 -.0046828  .0082891
T    9  2 .5073526E+07   3600169E-02  .1693E+03  .2368E+03   .9999657  .0040784  .0072075
T   10  2 .5059968E+07   3600199E-02  .9390E+01  .1074E+02   .9999993  .0007383  .0009212
T   11  2 .5093052E+07   3600067E-02 -.3255E+02  .1051E+01   .9999999 -.0003931 -.0002630
T   12  2 .5081443E+07   3600162E-02  .2339E+02  .2327E+02   .9999842 -.0018872  .0053042
T   13  2 .5078646E+07   3600089E-02  .3538E+01  .1584E+01   .9999988 -.0013651  .0007755
T   14  2 .5096940E+07   3600029E-02  .8209E+02  .2890E+02   .9999999  .0004649  .0000692
T   15  2 .5079197E+07   3600192E-02 -.5738E+02 -.5603E+02   .9995735 -.0225465 -.0185574
T   16  2 .5080076E+07   3600087E-02 -.6268E+02  .1704E+03   .9999386 -.0008914  .0110444
T   17  2 .5083199E+07   3600202E-02  .9202E+02 -.1415E+02   .9999970  .0004049 -.0024120
T   18  2 .5078256E+07   3600176E-02  .7549E+02 -.2549E+02   .9999691  .0078452 -.0004477
T   19  2 .5071563E+07   3600188E-02 -.6979E+02  .7263E+02   .9999809 -.0038200  .0048524
T   20  2 .5081155E+07   3600184E-02 -.4435E+02  .4300E+02   .9999886 -.0046865 -.0008609
T   21  2 .5071353E+07   3600090E-02 -.4502E+02  .5459E+02   .9999977 -.0021167 -.0002627
T   22  2 .5073462E+07   3600063E-02  .5379E+01  .3187E+02   .9999925  .0002188  .0038790
T   23  2 .5053466E+07   3600199E-02 -.2294E+02 -.5903E+02   .9999777  .0046200 -.0048213
T   24  2 .5092415E+07   3600104E-02 -.2430E+02 -.2463E+02   .9999967  .0001490 -.0025604
T   25  2 .5069384E+07   3600199E-02 -.7337E+02  .1159E+03   .9999714 -.0062675  .0042315
T   26  2 .5060306E+07   3600049E-02 -.2912E+02  .9065E+02   .9999853 -.0031936  .0043828
T   27  2 .5080449E+07   3600008E-02  .1090E+03  .1487E+02   .9999984  .0015010 -.0009477
T   28  2 .5092512E+07   3600001E-02  .3793E+02  .9475E+02   .9998833  .0151317  .0021214
T   29  2 .5080518E+07   3600187E-02  .3497E+02  .7806E+01   .9999890 -.0009456 -.0045946
T   30  2 .5064024E+07   3600114E-02 -.3886E+02 -.1824E+02   .9999882 -.0046834  .0012834
T   31  2 .5082845E+07   3600090E-02  .9844E+01  .8480E+02   .9999883  .0035863  .0032472
T   32  2 .5080827E+07   3600117E-02  .2710E+02  .3825E+02   .9999813 -.0060935  .0005334
T   33  2 .5078058E+07   3600018E-02  .7012E+02 -.1387E+02   .9999988  .0012423 -.0009244
T   34  2 .5063546E+07   3600065E-02 -.5571E+02 -.6105E+02   .9999925 -.0032046 -.0021807
T   35  2 .5076300E+07   3600024E-02  .1822E+02  .3744E+01   .9999997 -.0002399 -.0006906
T   36  2 .5090538E+07   3600008E-02  .6431E+02  .6824E+02   .9999931  .0011780  .0035291
T   37  2 .5084339E+07   3600066E-02  .2784E+03 -.1765E+03   .9999077  .0116061 -.0070703
T   38  2 .5057792E+07   3600137E-02 -.5006E+02  .1702E+02   .9999971 -.0008177 -.0022766
T   39  2 .5101505E+07   3600175E-02  .1611E+02  .5251E+01   .9999999  .0004281  .0001790
T   40  2 .5070938E+07   3600108E-02  .2594E+02 -.3434E+02   .9999916  .0016553 -.0037390
T   41  2 .5078307E+07   3600194E-02  .2076E+02  .1749E+02   .9999902  .0020732 -.0039178
T   42  2 .5095849E+07   3600217E-02 -.1926E+02 -.2876E+02   .9999962 -.0010156 -.0025803
T   43  2 .5077951E+07   3600007E-02  .6142E+02  .4610E+02   .9999881  .0039823  .0028350
T   44  2 .5091323E+07   3600167E-02 -.1448E+03 -.4793E+02   .9999387 -.0109480 -.0016448
T   45  2 .5099406E+07   3600213E-02  .3750E+02  .2361E+03   .9999302  .0014330  .0117278
T   46  2 .5076494E+07   3600103E-02  .3931E+02 -.4164E+02   .9999843  .0027684 -.0048747
T   47  2 .5087613E+07   3600173E-02 -.3530E+02  .1330E+02   .9999994  .0006247  .0009021
T   48  2 .5074946E+07   3600173E-02  .7480E+02 -.1213E+03   .9999928  .0012973 -.0035756
T   49  2 .5082763E+07   3600190E-02  .1261E+03 -.7076E+02   .9999872  .0036213 -.0035236
T   50  2 .5058157E+07   3600053E-02 -.7329E+02  .7104E+02   .9999819 -.0036214  .0048017
T   51  2 .5093512E+07   3600173E-02  .5359E+02  .2338E+02   .9999766  .0061115  .0030618
T   52  2 .5088615E+07   3600184E-02 -.8088E+02 -.1076E+01   .9999951 -.0013847  .0028132
T   53  2 .5070893E+07   3600073E-02  .5274E+02  .3398E+02   .9999922  .0001977  .0039442
T   54  2 .5075147E+07   3600116E-02 -.8347E+01  .4059E+02   .9999905 -.0000947  .0043669
T   55  2 .5076389E+07   3600141E-02  .6397E+02  .4631E+02   .9999873  .0024660  .0043862
T   56  2 .5066460E+07   3600052E-02  .4382E+03  .7834E+03   .9981435  .0296064  .0532265
T   57  2 .5076395E+07   3600025E-02 -.4314E+01  .1332E+02   .9999980 -.0008620  .0018017
T   58  2 .5094697E+07   3600073E-02  .5370E+01  .8717E+02   .9999041  .0011164  .0138054
T   59  2 .5067618E+07   3600066E-02  .2152E+03  .2016E+03   .9998892  .0114442  .0095177
T   60  2 .5081581E+07   3600051E-02 -.5812E+02  .2023E+03   .9999301 -.0066310  .0097922
T   61  2 .5088572E+07   3600185E-02  .5227E+02 -.6350E+00   .9999823  .0034860  .0048156
T   62  2 .5065757E+07   3600152E-02 -.8515E+02 -.4573E+02   .9999917 -.0028464 -.0029192
T   63  2 .5069969E+07   3600093E-02  .2036E+02 -.1004E+03   .9999911  .0013635 -.0039814
T   64  2 .5079001E+07   3600192E-02  .7916E+02  .3902E+02   .9999929  .0036779  .0008483
T   65  2 .5102962E+07   3600023E-02 -.7657E+02  .1189E+02   .9999938 -.0034577  .0006133
T   66  2 .5083196E+07   3600004E-02  .4259E+02 -.4656E+02   .9999905  .0039644 -.0018377
T   67  2 .5090867E+07   3600045E-02 -.1283E+03  .3188E+02   .9999474 -.0102319  .0007741
T   68  2 .5075431E+07   3600041E-02  .4914E+02  .2149E+02   .9999985  .0016479  .0004520
T   69  2 .5076473E+07   3600119E-02 -.2741E+02  .6827E+02   .9999819 -.0049143  .0034763
T   70  2 .5076891E+07   3600133E-02 -.1373E+03  .7541E+02   .9999546 -.0090498  .0029674
T   71  2 .5064908E+07   3600217E-02  .1008E+03  .1558E+03   .9999890  .0020066  .0042349
T   72  2 .5089949E+07   3600194E-02 -.5562E+02 -.3882E+02   .9999995  .0004442 -.0008579
T   73  2 .5083992E+07   3600187E-02 -.3079E+00  .1247E+02   .9999969 -.0018154  .0017160
T   74  2 .5075760E+07   3600098E-02 -.1987E+02  .7918E+02   .9999957  .0010552  .0027514
T   75  2 .5068119E+07   3600070E-02 -.1125E+02  .8763E+01   .9999963 -.0019200  .0019358
T   76  2 .5086457E+07   3600104E-02 -.2346E+02  .2025E+01   .9999931  .0034299 -.0014242
T   77  2 .5086593E+07   3600168E-02  .4548E+01 -.4455E+02   .9999911 -.0011775 -.0040436
T   78  2 .5084132E+07   3600209E-02 -.5685E+02  .3641E+02   .9999999 -.0002858  .0002879
T   79  2 .5075182E+07   3600002E-02  .2927E+02 -.7530E+02   .9999863  .0020799 -.0047935
T   80  2 .5089262E+07   3600122E-02  .1136E+03 -.2955E+02   .9999602  .0071309 -.0053642
T   81  2 .5041189E+07   3600042E-02  .8869E+02  .8603E+02   .9999854  .0013160  .0052381
T   82  2 .5088030E+07   3600183E-02  .2052E+02  .1231E+02   .9999982 -.0018643  .0004249
