============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar( 7.19 um) ====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 .4626920E+07   7200157E-02 -.2343E+03 -.1693E+02   .9999665  .0073280 -.0036483
T    2  2 .4652857E+07   7200047E-02  .4123E+03 -.6552E+02   .9999872  .0001047 -.0050541
T    3  2 .4647697E+07   7200007E-02  .4985E+03  .2423E+03   .9990812  .0396954  .0161546
T    4  2 .4639716E+07   7200145E-02 -.2776E+03  .1506E+03   .9999881 -.0026335  .0041111
T    5  2 .4658582E+07   7200190E-02 -.2084E+03  .1977E+03   .9999919 -.0015702  .0037119
T    6  2 .4634321E+07   7200028E-02 -.1050E+04 -.4206E+03   .9998032 -.0189639 -.0058182
T    7  2 .4638357E+07   7200128E-02 -.4362E+03 -.9854E+02   .9999093 -.0133645 -.0016550
T    8  2 .4663225E+07   7200192E-02  .3622E+03  .1641E+03   .9999756  .0069878 -.0001636
T    9  2 .4628284E+07   7200215E-02  .1908E+03 -.2412E+03   .9998640  .0099617 -.0131404
T   10  2 .4658433E+07   7200216E-02 -.3903E+03  .2291E+03   .9998668 -.0125413  .0104436
T   11  2 .4638386E+07   7200110E-02 -.1248E+03 -.2428E+03   .9999723 -.0024595 -.0070229
T   12  2 .4628233E+07   7200182E-02  .1294E+03 -.7198E+02   .9999679  .0079913 -.0005895
T   13  2 .4631089E+07   7200009E-02 -.1614E+03 -.3159E+03   .9999830 -.0011563 -.0057145
T   14  2 .4629061E+07   7200072E-02 -.2022E+03 -.3458E+02   .9999780 -.0063621  .0018630
T   15  2 .4650316E+07   7200178E-02  .2582E+02 -.1379E+03   .9998706 -.0158251  .0028978
T   16  2 .4640373E+07   7200106E-02 -.1427E+03  .2511E+02   .9999094  .0072010 -.0113727
T   17  2 .4655264E+07   7200021E-02 -.3717E+02  .2267E+03   .9999907  .0015432  .0040280
T   18  2 .4646900E+07   7200208E-02  .7845E+01  .3697E+03   .9998670  .0011467  .0162705
T   19  2 .4616885E+07   7200189E-02 -.1239E+03  .2348E+03   .9999807  .0008941  .0061526
T   20  2 .4659978E+07   7200168E-02 -.7297E+02  .2486E+03   .9999971 -.0007441  .0023046
T   21  2 .4636211E+07   7200179E-02 -.1744E+03 -.3137E+03   .9999357 -.0039061 -.0106416
T   22  2 .4651530E+07   7200189E-02  .2272E+03 -.9736E+00   .9999662  .0076135 -.0031103
T   23  2 .4643062E+07   7200113E-02  .3236E+03 -.1510E+03   .9999406  .0102755 -.0036210
T   24  2 .4648607E+07   7200147E-02  .2225E+02 -.8407E+02   .9999592  .0032726 -.0084216
T   25  2 .4649599E+07   7200067E-02  .5071E+02 -.7158E+02   .9999678  .0001713 -.0080275
T   26  2 .4653162E+07   7200127E-02  .9317E+02 -.5866E+01   .9999864  .0050921 -.0011321
T   27  2 .4625016E+07   7200020E-02 -.1544E+03 -.5984E+03   .9997005 -.0191527 -.0152364
T   28  2 .4632067E+07   7200166E-02  .2019E+02 -.3286E+03   .9999742 -.0018939 -.0069361
T   29  2 .4628315E+07   7200065E-02 -.9810E+01  .1227E+03   .9999970 -.0014745 -.0019710
T   30  2 .4643763E+07   7200210E-02 -.3934E+03 -.1070E+03   .9998159 -.0186307  .0045805
T   31  2 .4693575E+07   7200182E-02  .3529E+03  .3548E+03   .9998876  .0112223  .0099398
T   32  2 .4632160E+07   7200118E-02 -.7931E+02  .3626E+03   .9999475  .0010369  .0101946
T   33  2 .4646991E+07   7200106E-02 -.3443E+03  .7996E+03   .9997659 -.0079145  .0201356
T   34  2 .4659531E+07   7200125E-02 -.1817E+03 -.1685E+02   .9999789 -.0064525 -.0007533
T   35  2 .4649810E+07   7200105E-02 -.3202E+03 -.7374E+01   .9999423 -.0095233  .0049693
T   36  2 .4630494E+07   7200020E-02  .2756E+03  .3509E+03   .9999146  .0058877  .0116698
T   37  2 .4645828E+07   7200209E-02  .4993E+02  .1477E+03   .9999916  .0027496 -.0030424
T   38  2 .4634535E+07   7200176E-02 -.4721E+03 -.2586E+03   .9999080 -.0107494 -.0082761
T   39  2 .4661797E+07   7200125E-02  .3755E+03 -.1686E+02   .9999457  .0074825  .0072474
T   40  2 .4652183E+07   7200201E-02  .1728E+03  .3822E+03   .9999595  .0055563  .0070762
T   41  2 .4651384E+07   7200017E-02 -.2293E+03 -.3743E+02   .9999841 -.0008710 -.0055712
T   42  2 .4649400E+07   7200096E-02  .1347E+03 -.3578E+03   .9999547  .0029651 -.0090439
T   43  2 .4678572E+07   7200169E-02  .4162E+03 -.2380E+03   .9998788  .0152199 -.0032762
T   44  2 .4626532E+07   7200054E-02 -.2385E+03 -.4193E+03   .9999934  .0015601 -.0032928
T   45  2 .4629614E+07   7200179E-02 -.3792E+03 -.4953E+03   .9998248 -.0070526 -.0173369
T   46  2 .4644700E+07   7200057E-02  .2394E+03  .1473E+03   .9999661  .0039646  .0072100
T   47  2 .4626811E+07   7200079E-02  .6331E+03 -.4135E+03   .9999573  .0090764 -.0017457
T   48  2 .4675092E+07   7200075E-02 -.1892E+03 -.1387E+03   .9999566 -.0040741 -.0083785
T   49  2 .4668036E+07   7200102E-02  .3963E+02  .1519E+03   .9999891  .0046373  .0005509
T   50  2 .4635766E+07   7200201E-02 -.3011E+03 -.1204E+03   .9999159 -.0093505 -.0089913
T   51  2 .4653147E+07   7200180E-02  .1495E+03  .1065E+03   .9999656  .0063909  .0052951
T   52  2 .4634472E+07   7200121E-02 -.1387E+03  .8368E+02   .9999960 -.0027033  .0008832
T   53  2 .4624233E+07   7200131E-02  .1401E+03 -.1412E+03   .9993834  .0307210 -.0169984
T   54  2 .4616931E+07   7200041E-02  .1999E+03 -.6166E+02   .9999948  .0030162 -.0011655
T   55  2 .4662785E+07   7200129E-02  .3652E+03  .2991E+03   .9999421  .0078105  .0073961
T   56  2 .4650921E+07   7200023E-02  .1619E+02 -.9304E+02   .9999973  .0023267 -.0001734
T   57  2 .4665349E+07   7200131E-02 -.3091E+03 -.9329E+02   .9999511 -.0098763 -.0005947
T   58  2 .4603584E+07   7200114E-02 -.4181E+03 -.5028E+03   .9998408 -.0149057 -.0098054
T   59  2 .4640414E+07   7200142E-02  .3836E+03 -.1525E+03   .9999363  .0084174 -.0075212
T   60  2 .4688337E+07   7200020E-02 -.2275E+03  .3572E+03   .9998891 -.0116907  .0092259
T   61  2 .4661608E+07   7200165E-02 -.9927E+02  .5761E+02   .9999898 -.0039589  .0021619
T   62  2 .4620146E+07   7200085E-02  .4248E+03  .5492E+03   .9998597  .0082869  .0145594
T   63  2 .4612296E+07   7200142E-02  .1587E+03  .3180E+03   .9999627  .0035157  .0078884
T   64  2 .4653950E+07   7200135E-02  .2587E+02 -.3008E+03   .9999736  .0067639 -.0026685
T   65  2 .4626018E+07   7200167E-02  .1382E+03 -.3644E+02   .9999953  .0013234  .0027557
T   66  2 .4635096E+07   7200193E-02  .1179E+03 -.4081E+02   .9999976  .0018780  .0010867
T   67  2 .4640284E+07   7200160E-02  .1378E+03 -.1026E+03   .9999939  .0027557 -.0021626
T   68  2 .4652220E+07   7200163E-02 -.1706E+03  .3426E+02   .9999938 -.0032854  .0012460
T   69  2 .4669268E+07   7200193E-02  .5934E+02  .4023E+02   .9999809 -.0050612 -.0035475
T   70  2 .4656292E+07   7200160E-02 -.1336E+03 -.3904E+03   .9998329 -.0098010 -.0154279
T   71  2 .4688039E+07   7200125E-02 -.5821E+02 -.3705E+02   .9999898 -.0024175 -.0038216
T   72  2 .4643616E+07   7200181E-02 -.1930E+03  .1859E+03   .9999793 -.0061843  .0017770
T   73  2 .4692086E+07   7200163E-02 -.1666E+02 -.8910E+01   .9999873 -.0050297 -.0002058
T   74  2 .4674539E+07   7200110E-02 -.2419E+03  .1077E+03   .9999504 -.0096400  .0024991
T   75  2 .4631095E+07   7200094E-02 -.1784E+03 -.3427E+03   .9999491  .0029714 -.0096435
T   76  2 .4639063E+07   7200065E-02 -.1327E+03  .4507E+02   .9999897 -.0045211  .0003083
T   77  2 .4644413E+07   7200205E-02  .4492E+02 -.3808E+03   .9999529  .0003827 -.0096962
T   78  2 .4649065E+07   7200203E-02 -.3615E+03 -.4976E+02   .9999148 -.0121303  .0048287
T   79  2 .4655274E+07   7200196E-02 -.1011E+03  .1645E+03   .9999732 -.0040344  .0061017
T   80  2 .4641286E+07   7200160E-02 -.3160E+03  .1399E+03   .9997947  .0018279  .0201799
T   81  2 .4637521E+07   7200194E-02 -.3065E+03 -.2369E+03   .9999791 -.0044602 -.0046724
