============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar+Mylar( 10.7 um) ==============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 .4169352E+07   1080013E-01 -.7881E+03 -.5929E+03   .9999295 -.0117611 -.0016083
T    2  2 .4206532E+07   1080014E-01  .2526E+03 -.2985E+02   .9999880  .0047344 -.0012297
T    3  2 .4207464E+07   1080014E-01 -.7246E+03 -.8252E+03   .9998297 -.0102094 -.0153743
T    4  2 .4169652E+07   1080014E-01 -.5110E+03  .7435E+03   .9998968  .0010872  .0143280
T    5  2 .4198850E+07   1080009E-01 -.1112E+04 -.2372E+03   .9997481 -.0200765 -.0100314
T    6  2 .4164574E+07   1080009E-01 -.1037E+02 -.5575E+03   .9999196  .0042619 -.0119447
T    7  2 .4209028E+07   1080015E-01  .4012E+02 -.4065E+03   .9999676  .0053433 -.0060286
T    8  2 .4213640E+07   1080019E-01 -.5779E+03  .1893E+03   .9999115 -.0112079  .0071718
T    9  2 .4168702E+07   1080014E-01  .6917E+02 -.3610E+03   .9999752 -.0035590 -.0060830
T   10  2 .4168928E+07   1080001E-01  .3685E+03 -.2500E+03   .9999506  .0072350 -.0068160
T   11  2 .4142140E+07   1080016E-01  .6869E+03  .3877E+01   .9999332  .0114514 -.0015974
T   12  2 .4169303E+07   1080020E-01 -.1687E+04 -.3098E+04   .9949712 -.0453443 -.0893093
T   13  2 .4194614E+07   1080019E-01 -.1515E+03  .3306E+03   .9999443 -.0067490  .0081140
T   14  2 .4167712E+07   1080000E-01  .7450E+02  .1242E+03   .9999949  .0027943 -.0015400
T   15  2 .4203386E+07   1080012E-01  .6578E+03  .4574E+03   .9999765  .0068404  .0004296
T   16  2 .4172734E+07   1080009E-01 -.2355E+03  .7211E+03   .9999189  .0017411  .0126167
T   17  2 .4175803E+07   1080022E-01 -.1633E+03 -.3252E+03   .9999759 -.0045442 -.0052410
T   18  2 .4182624E+07   1080010E-01  .1808E+03 -.3134E+03   .9997359  .0228096  .0028196
T   19  2 .4213477E+07   1080018E-01 -.3732E+03 -.5380E+03   .9999807 -.0060796 -.0012672
T   20  2 .4203324E+07   1080012E-01  .9814E+03  .4967E+03   .9998143  .0111423  .0157218
T   21  2 .4154983E+07   1080006E-01  .1056E+03  .6170E+02   .9999898  .0006283 -.0044736
T   22  2 .4189769E+07   1080003E-01  .3839E+01  .2251E+03   .9999950 -.0025600 -.0018552
T   23  2 .4187781E+07   1080016E-01 -.9125E+03  .4988E+03   .9999209 -.0097969  .0078893
T   24  2 .4206918E+07   1080012E-01 -.1193E+03  .6938E+03   .9998722 -.0010213  .0159521
T   25  2 .4166478E+07   1080021E-01 -.2954E+03  .1367E+03   .9999786  .0065134  .0005327
T   26  2 .4198286E+07   1080016E-01  .2840E+03 -.1273E+01   .9999958  .0017460 -.0023258
T   27  2 .4165544E+07   1080012E-01  .5595E+03 -.3973E+03   .9999154  .0097884 -.0085657
T   28  2 .4168258E+07   1080006E-01  .9633E+02 -.2770E+03   .9999811  .0030366 -.0053448
T   29  2 .4183403E+07   1080006E-01 -.1272E+03  .1881E+03   .9999796  .0062740  .0011968
T   30  2 .4131957E+07   1080017E-01 -.7720E+03  .1727E+03   .9998821 -.0153456  .0005523
T   31  2 .4152526E+07   1080011E-01  .8020E+03 -.3355E+03   .9999326  .0104178  .0051187
T   32  2 .4199499E+07   1080020E-01  .2257E+02 -.5605E+03   .9999492  .0034609 -.0094666
T   33  2 .4143777E+07   1080007E-01  .1882E+04 -.3296E+04   .9958225  .0460610 -.0788406
T   34  2 .4202654E+07   1080003E-01 -.7170E+03 -.8865E+03   .9999028 -.0006044 -.0139266
T   35  2 .4219957E+07   1080021E-01  .1096E+03 -.1413E+04   .9998377  .0044736 -.0174523
T   36  2 .4213690E+07   1080001E-01  .2173E+03  .4713E+01   .9999841 -.0043842 -.0035440
T   37  2 .4176931E+07   1080021E-01  .4817E+03 -.5101E+03   .9999063  .0130718 -.0040531
T   38  2 .4177763E+07   1080016E-01  .2700E+03 -.5362E+03   .9998006  .0107798 -.0168100
T   39  2 .4185472E+07   1080016E-01 -.2807E+03  .1414E+03   .9999828  .0053652 -.0023852
T   40  2 .4211371E+07   1080012E-01 -.4114E+03 -.3087E+03   .9999213 -.0115797 -.0048324
T   41  2 .4175355E+07   1080015E-01 -.1439E+04  .1851E+04   .9995806 -.0230192  .0175695
T   42  2 .4182228E+07   1080010E-01 -.2931E+03  .5426E+02   .9999278 -.0054703  .0106947
T   43  2 .4140178E+07   1080010E-01  .8269E+02  .3850E+03   .9999720  .0010919  .0073977
T   44  2 .4195140E+07   1080017E-01 -.1709E+03  .2028E+03   .9999973 -.0020109  .0011822
T   45  2 .4205657E+07   1080000E-01  .1709E+03 -.7627E+03   .9999553  .0020560 -.0092314
T   46  2 .4179743E+07   1080009E-01  .4270E+03  .1180E+02   .9999848  .0054599  .0008186
T   47  2 .4160562E+07   1080016E-01  .6170E+02  .3094E+03   .9997710 -.0010031  .0213773
T   48  2 .4185920E+07   1080019E-01  .1168E+03 -.2559E+03   .9999247  .0088860 -.0084633
T   49  2 .4174091E+07   1080009E-01  .2679E+03  .4793E+03   .9999232  .0002436  .0123901
T   50  2 .4152634E+07   1080019E-01  .5851E+02 -.6000E+03   .9999569  .0009194 -.0092430
T   51  2 .4195242E+07   1080015E-01  .5084E+02 -.4905E+03   .9999617  .0023306 -.0084322
T   52  2 .4175977E+07   1080003E-01  .1366E+04  .3691E+03   .9995799  .0257739  .0132593
T   53  2 .4233930E+07   1080019E-01 -.3528E+03  .6271E+03   .9997502 -.0120743  .0188101
T   54  2 .4182572E+07   1080012E-01  .4899E+03 -.3207E+03   .9999515  .0089238 -.0041652
T   55  2 .4182061E+07   1080015E-01  .8010E+03  .8954E+02   .9999905  .0040353 -.0016211
T   56  2 .4148920E+07   1080006E-01 -.9007E+03  .2910E+03   .9999157 -.0125257  .0034174
T   57  2 .4216158E+07   1080018E-01 -.2757E+03  .1207E+02   .9999138 -.0124205 -.0042626
T   58  2 .4171247E+07   1080014E-01 -.7809E+03  .1906E+03   .9999436 -.0101486  .0031324
T   59  2 .4159782E+07   1080019E-01 -.4098E+03  .1926E+03   .9999513 -.0082643  .0053899
T   60  2 .4154891E+07   1080019E-01  .5592E+03 -.1754E+03   .9999504  .0088399 -.0045891
T   61  2 .4193177E+07   1080015E-01 -.6352E+03 -.1738E+03   .9999190 -.0010445 -.0126864
T   62  2 .4150979E+07   1080019E-01  .1004E+04  .9111E+02   .9999559  .0093758  .0005370
T   63  2 .4181067E+07   1080021E-01  .2919E+03 -.1276E+03   .9999825  .0056463  .0017798
T   64  2 .4207998E+07   1080007E-01 -.4381E+03  .3869E+03   .9999401 -.0100068  .0044411
T   65  2 .4200093E+07   1080020E-01  .2290E+03  .9035E+03   .9999327  .0059569  .0099508
T   66  2 .4218157E+07   1080020E-01 -.5820E+03  .4755E+02   .9999602 -.0080352  .0038876
T   67  2 .4191901E+07   1080016E-01  .8724E+02  .1965E+03   .9999885  .0026966  .0039579
T   68  2 .4165671E+07   1080001E-01  .7576E+00  .6325E+03   .9998151  .0135773  .0136141
T   69  2 .4205195E+07   1080001E-01 -.2264E+03  .2337E+02   .9999728 -.0065149 -.0034580
T   70  2 .4173973E+07   1080012E-01 -.7727E+03  .2554E+03   .9993380 -.0357028  .0069931
T   71  2 .4202495E+07   1080008E-01  .1308E+02  .8561E+03   .9999717  .0016222  .0073446
T   72  2 .4186490E+07   1080009E-01 -.6370E+02  .9048E+03   .9997907 -.0056423  .0196649
T   73  2 .4160395E+07   1080008E-01  .2068E+04 -.1307E+04   .9994810  .0288090 -.0144113
T   74  2 .4185566E+07   1080003E-01  .1913E+03  .4163E+03   .9999681  .0072655  .0033102
T   75  2 .4177134E+07   1080000E-01  .1169E+03  .1056E+03   .9999723  .0030382 -.0067891
T   76  2 .4185607E+07   1080003E-01 -.1451E+03 -.6480E+03   .9999101  .0019241 -.0132673
T   77  2 .4194355E+07   1080021E-01 -.1810E+03  .4357E+03   .9999844 -.0013434  .0054160
T   78  2 .4207102E+07   1080017E-01 -.2963E+03  .2963E+03   .9999466 -.0068668  .0077183
T   79  2 .4103340E+07   1080003E-01 -.5769E+03  .1099E+04   .9994177 -.0084421  .0330595
T   80  2 .4202458E+07   1080020E-01 -.2657E+02 -.2216E+03   .9999904  .0043468  .0005492
T   81  2 .4214060E+07   1080019E-01 -.3922E+03 -.3520E+03   .9999162 -.0128071 -.0019010
