============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar+Mylar+Mylar( 14.3 um) ========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 .3681730E+07   1440020E-01 -.2228E+03  .2052E+03   .9999692  .0067403  .0040202
T    2  2 .3702266E+07   1440018E-01 -.4864E+03  .1438E+04   .9996981 -.0038177  .0242729
T    3  2 .3729977E+07   1440003E-01  .1910E+04  .7154E+03   .9991134  .0363299  .0212736
T    4  2 .3707292E+07   1440020E-01 -.4688E+03 -.1066E+03   .9999988 -.0015618 -.0001898
T    5  2 .3738715E+07   1440008E-01 -.1334E+03  .4049E+03   .9999989 -.0014247  .0003985
T    6  2 .3713878E+07   1440014E-01 -.2784E+03  .3749E+03   .9997995 -.0059818  .0191105
T    7  2 .3703153E+07   1440019E-01  .7553E+03  .2219E+04   .9999547  .0041647  .0085607
T    8  2 .3693556E+07   1440011E-01 -.2242E+03 -.1487E+03   .9999742 -.0067194  .0025250
T    9  2 .3692134E+07   1440019E-01  .7168E+03 -.2700E+03   .9999822  .0008446 -.0059087
T   10  2 .3670683E+07   1440000E-01  .8678E+03  .2586E+04   .9996277  .0082901  .0259959
T   11  2 .3628139E+07   1440019E-01  .5762E+03  .4526E+03   .9999305  .0105281  .0052971
T   12  2 .3733987E+07   1440003E-01  .7059E+03 -.6009E+03   .9996717  .0139316 -.0215023
T   13  2 .3645581E+07   1440017E-01 -.6018E+03  .1271E+04   .9998869 -.0000845  .0150411
T   14  2 .3682805E+07   1440016E-01  .7123E+03 -.2460E+04   .9994265 -.0082717 -.0328367
T   15  2 .3679858E+07   1440012E-01 -.2878E+03 -.2033E+03   .9998964 -.0092537 -.0110294
T   16  2 .3662056E+07   1440002E-01 -.8473E+03 -.2880E+03   .9998955 -.0138389 -.0041759
T   17  2 .3638930E+07   1440007E-01  .4601E+04 -.7729E+04   .9856533  .0855620 -.1454877
T   18  2 .3689575E+07   1440017E-01  .6872E+03 -.1655E+03   .9999289  .0116428 -.0025958
T   19  2 .3720397E+07   1440017E-01  .2438E+03 -.9405E+03   .9997204  .0061813 -.0228240
T   20  2 .3658260E+07   1440021E-01 -.3352E+03  .9655E+03   .9999413  .0036842  .0101876
T   21  2 .3681085E+07   1440013E-01 -.7076E+03  .5224E+03   .9999836 -.0013877  .0055626
T   22  2 .3647720E+07   1440008E-01  .9632E+03 -.1389E+03   .9998655  .0163474 -.0013001
T   23  2 .3729807E+07   1440010E-01 -.7234E+03  .8713E+03   .9999377 -.0026713  .0108355
T   24  2 .3666574E+07   1440005E-01  .3527E+03 -.3232E+03   .9999838  .0051245  .0024621
T   25  2 .3665945E+07   1440020E-01  .6033E+03 -.8058E+03   .9998876  .0062606 -.0136233
T   26  2 .3722644E+07   1440019E-01 -.4121E+03 -.1044E+04   .9998779 -.0025135 -.0154236
T   27  2 .3688588E+07   1440020E-01 -.6427E+03 -.9791E+03   .9996570 -.0201901 -.0166808
T   28  2 .3680375E+07   1440014E-01 -.1559E+03  .5418E+03   .9999322 -.0081104  .0083522
T   29  2 .3726490E+07   1440006E-01 -.8691E+03  .1206E+04   .9995175 -.0211975  .0227052
T   30  2 .3691765E+07   1440015E-01 -.7857E+03 -.2042E+03   .9997875 -.0185081 -.0090743
T   31  2 .3712795E+07   1440008E-01 -.7842E+03 -.1075E+04   .9997321 -.0113486 -.0201750
T   32  2 .3642987E+07   1440017E-01  .3991E+00 -.6322E+03   .9996491  .0126591 -.0232679
T   33  2 .3712068E+07   1440009E-01 -.1307E+04 -.8948E+03   .9998483 -.0126595 -.0119665
T   34  2 .3656046E+07   1440020E-01 -.1494E+04 -.5031E+03   .9999746 -.0068196 -.0020676
T   35  2 .3715974E+07   1440013E-01 -.5217E+03 -.5456E+02   .9999774 -.0028869 -.0060706
T   36  2 .3712109E+07   1440019E-01 -.2629E+02  .8509E+03   .9999399 -.0039335  .0102313
T   37  2 .3647280E+07   1440005E-01  .3068E+03  .1793E+03   .9998792  .0013194  .0154872
T   38  2 .3635267E+07   1440014E-01 -.2962E+03 -.2853E+03   .9999938 -.0034594  .0006484
T   39  2 .3722024E+07   1440007E-01  .1566E+04 -.1140E+04   .9997040  .0130167 -.0205547
T   40  2 .3650616E+07   1440012E-01 -.5210E+03 -.3801E+03   .9999688  .0012927 -.0077911
T   41  2 .3611012E+07   1440017E-01  .5492E+03  .1044E+04   .9997960  .0114046  .0166693
T   42  2 .3653973E+07   1440007E-01  .3325E+04  .3159E+04   .9985935  .0406058  .0340913
T   43  2 .3690670E+07   1440010E-01 -.4799E+03  .3701E+03   .9998595  .0122666  .0114256
T   44  2 .3661352E+07   1440009E-01  .9422E+03  .1387E+04   .9998613  .0122722  .0112637
T   45  2 .3688917E+07   1440007E-01  .4300E+03 -.1195E+01   .9997709  .0159782  .0142405
T   46  2 .3655943E+07   1440020E-01 -.8676E+02 -.1792E+03   .9999491 -.0099413  .0017033
T   47  2 .3683146E+07   1440004E-01  .1152E+03  .1161E+04   .9999387 -.0041268  .0102732
T   48  2 .3692886E+07   1440009E-01 -.3529E+03  .2909E+03   .9999861  .0008582 -.0051982
T   49  2 .3694534E+07   1440002E-01 -.5625E+02 -.2201E+03   .9999491 -.0008174 -.0100596
T   50  2 .3692540E+07   1440006E-01 -.2058E+03 -.2092E+02   .9999938 -.0034853 -.0004735
T   51  2 .3692565E+07   1440019E-01  .4539E+03 -.6454E+03   .9999367  .0098847 -.0053716
T   52  2 .3677427E+07   1440017E-01 -.1980E+03 -.1145E+04   .9999923  .0015855 -.0036032
T   53  2 .3732978E+07   1440017E-01 -.1437E+03 -.7170E+03   .9999260 -.0044547 -.0113238
T   54  2 .3671843E+07   1440012E-01 -.4900E+03  .2518E+01   .9999614 -.0082978 -.0028737
T   55  2 .3650664E+07   1440020E-01 -.3534E+02  .1722E+03   .9993642 -.0356024 -.0019335
T   56  2 .3746093E+07   1440021E-01  .2068E+03  .1239E+04   .9999034  .0002675  .0138985
T   57  2 .3702490E+07   1440010E-01  .1023E+04  .4193E+03   .9997838  .0086737  .0188961
T   58  2 .3637642E+07   1440018E-01 -.7833E+03  .3095E+03   .9999772 -.0033727  .0058453
T   59  2 .3706928E+07   1440015E-01  .6080E+03  .1576E+03   .9999967  .0003191  .0025644
T   60  2 .3644236E+07   1440015E-01 -.3700E+03  .9151E+03   .9995888 -.0091101  .0271907
T   61  2 .3707727E+07   1440019E-01  .1331E+04 -.9115E+03   .9997491  .0178275 -.0135597
T   62  2 .3736010E+07   1440014E-01 -.5825E+01 -.2656E+03   .9999943  .0005564  .0033284
T   63  2 .3706403E+07   1440005E-01  .2605E+03  .7979E+01   .9999868 -.0015342  .0049042
T   64  2 .3694132E+07   1440003E-01  .2235E+04  .1854E+03   .9998316  .0182599  .0018435
T   65  2 .3659986E+07   1440016E-01  .1218E+04 -.2356E+03   .9999932  .0023469 -.0028531
T   66  2 .3685883E+07   1440019E-01 -.7955E+01  .2485E+03   .9999488 -.0074651 -.0068301
T   67  2 .3682210E+07   1440007E-01 -.3699E+04  .5444E+03   .9993648 -.0351986  .0055769
T   68  2 .3667136E+07   1440017E-01 -.1901E+04  .6516E+03   .9998413 -.0109737  .0140314
T   69  2 .3646830E+07   1440001E-01 -.1057E+03 -.4258E+03   .9999966 -.0025973 -.0003372
T   70  2 .3677841E+07   1440010E-01  .3349E+03 -.1788E+04   .9998255 -.0029288 -.0184485
T   71  2 .3681517E+07   1440003E-01 -.5103E+03  .8193E+03   .9998419 -.0110158  .0139596
T   72  2 .3734418E+07   1440015E-01 -.1138E+04 -.3615E+03   .9998250 -.0186844 -.0008902
T   73  2 .3696402E+07   1440006E-01 -.9756E+03  .1547E+04   .9998469 -.0118081  .0129145
T   74  2 .3663736E+07   1440000E-01  .1346E+04 -.2734E+04   .9991951  .0297617 -.0268955
T   75  2 .3684698E+07   1440007E-01 -.1784E+03  .8604E+03   .9997884 -.0059685  .0196860
T   76  2 .3722371E+07   1440018E-01  .8454E+03 -.7162E+03   .9995000  .0189914 -.0252781
T   77  2 .3654746E+07   1440010E-01  .1383E+04  .8695E+02   .9999579  .0079363  .0046078
T   78  2 .3721042E+07   1440008E-01 -.2742E+04  .2504E+04   .9989998 -.0302523  .0329273
T   79  2 .3718418E+07   1440020E-01  .8874E+03 -.5390E+03   .9997448  .0213361 -.0074286
T   80  2 .3646941E+07   1440003E-01  .3891E+03 -.1403E+03   .9999122  .0119699  .0056803
T   81  2 .3669524E+07   1440010E-01  .8211E+03  .1121E+04   .9998912  .0112608  .0095237
