============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar+Mylar+Mylar+( 17.9 um) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 .3121128E+07   1800005E-01  .9346E+02  .1272E+04   .9999223  .0073303  .0100842
T    2  2 .3112847E+07   1800016E-01  .7233E+03 -.6726E+03   .9999410 -.0018917 -.0106955
T    3  2 .3159120E+07   1800013E-01 -.7633E+03  .2784E+03   .9997595 -.0118460  .0184577
T    4  2 .3216116E+07   1800012E-01  .4049E+04  .2121E+04   .9989715  .0425278  .0157254
T    5  2 .3115025E+07   1800003E-01  .3758E+03 -.1160E+04   .9998256  .0048801 -.0180283
T    6  2 .3110197E+07   1800021E-01 -.1488E+04 -.1160E+04   .9998672 -.0126979 -.0102171
T    7  2 .3154648E+07   1800017E-01  .1583E+04 -.3753E+03   .9999575  .0067113 -.0063240
T    8  2 .3047394E+07   1800021E-01  .1169E+05 -.8746E+04   .9960027  .0775660 -.0442960
T    9  2 .3159397E+07   1800007E-01  .2357E+04  .1473E+03   .9995957  .0274651  .0073519
T   10  2 .3115979E+07   1800014E-01  .4513E+03 -.1375E+03   .9999383  .0096593  .0054927
T   11  2 .3166852E+07   1800008E-01 -.1075E+04  .5290E+03   .9997278 -.0201015  .0118403
T   12  2 .3167877E+07   1800012E-01 -.3197E+03  .2245E+04   .9997236  .0013411  .0234719
T   13  2 .3085909E+07   1800002E-01  .2842E+04 -.1867E+03   .9993764  .0306441 -.0175417
T   14  2 .3096350E+07   1800017E-01 -.9973E+02  .2021E+04   .9998110  .0063061  .0183902
T   15  2 .3246241E+07   1800019E-01 -.1976E+03 -.7830E+02   .9999904  .0033472 -.0028376
T   16  2 .3066167E+07   1800016E-01  .1938E+03 -.2061E+04   .9999301 -.0095368 -.0069844
T   17  2 .3176602E+07   1800011E-01  .8063E+03 -.1925E+03   .9997897 -.0002074 -.0205066
T   18  2 .3133800E+07   1800017E-01  .4534E+03  .8958E+03   .9999517 -.0063715  .0074773
T   19  2 .3152604E+07   1800021E-01 -.6742E+03 -.6741E+03   .9999924 -.0038987  .0002263
T   20  2 .3094234E+07   1800000E-01 -.7047E+03 -.3426E+03   .9999398 -.0041703 -.0101480
T   21  2 .3111424E+07   1800021E-01  .1230E+03  .2910E+03   .9999937  .0021104 -.0028681
T   22  2 .3133818E+07   1800011E-01  .6062E+02  .1304E+04   .9998077 -.0002267  .0196115
T   23  2 .3111304E+07   1800000E-01  .2566E+03  .9694E+02   .9999529 -.0093840 -.0024734
T   24  2 .3189032E+07   1800001E-01  .9678E+03  .3700E+03   .9999321  .0073044 -.0090789
T   25  2 .3127178E+07   1800017E-01  .1604E+04 -.2173E+04   .9996315  .0194411 -.0189463
T   26  2 .3100153E+07   1800018E-01 -.3710E+03 -.6269E+02   .9999397 -.0106695  .0025983
T   27  2 .3132668E+07   1800015E-01 -.1213E+04  .6367E+03   .9998921 -.0111490  .0095624
T   28  2 .3181752E+07   1800005E-01  .9073E+03 -.1170E+04   .9997051  .0141822 -.0197131
T   29  2 .3175828E+07   1800007E-01  .1090E+04 -.1203E+04   .9999763  .0066011  .0019769
T   30  2 .3123338E+07   1800017E-01  .6343E+03 -.1255E+03   .9999797  .0047136  .0042963
T   31  2 .3132547E+07   1800003E-01 -.1550E+04  .1362E+04   .9999765 -.0051812  .0044864
T   32  2 .3088586E+07   1800018E-01 -.9469E+02 -.5467E+03   .9999420 -.0056099 -.0091956
T   33  2 .3125260E+07   1800009E-01 -.1339E+04 -.9009E+02   .9998979 -.0122641  .0073392
T   34  2 .3122382E+07   1800020E-01 -.2106E+03 -.1729E+04   .9997607  .0047076 -.0213624
T   35  2 .3153501E+07   1800005E-01  .4053E+03 -.9718E+03   .9998957  .0031212 -.0141025
T   36  2 .3112260E+07   1800011E-01  .2495E+04 -.5608E+03   .9996495  .0262541  .0033957
T   37  2 .3189247E+07   1800004E-01  .3972E+03  .6557E+03   .9999780  .0020963 -.0062882
T   38  2 .3151776E+07   1800003E-01 -.9930E+03 -.5095E+03   .9999565 -.0072628 -.0058538
T   39  2 .3059329E+07   1800006E-01 -.3291E+03  .1171E+04   .9999474 -.0079984  .0064225
T   40  2 .3138403E+07   1800020E-01  .1368E+04  .2502E+04   .9989852  .0205288  .0400883
T   41  2 .3153982E+07   1800006E-01 -.7467E+02  .9034E+03   .9999753  .0037209  .0059679
T   42  2 .3138741E+07   1800012E-01 -.5679E+03  .5767E+03   .9998331 -.0182689  .0001013
T   43  2 .3194153E+07   1800007E-01 -.1366E+04  .3009E+03   .9999870 -.0051048  .0000188
T   44  2 .3114720E+07   1800021E-01 -.1296E+04  .3419E+04   .9995339 -.0101227  .0288027
T   45  2 .3126477E+07   1800006E-01  .6184E+03 -.1025E+04   .9984366  .0120513 -.0545812
T   46  2 .3139134E+07   1800008E-01  .2834E+02 -.1214E+04   .9998598 -.0006159 -.0167306
T   47  2 .3139961E+07   1800015E-01 -.1320E+02 -.5260E+03   .9999231  .0045839 -.0115243
T   48  2 .3228635E+07   1800014E-01 -.4014E+04  .1729E+04   .9997097 -.0232957 -.0061489
T   49  2 .3106495E+07   1800022E-01  .1115E+04 -.2177E+04   .9996920  .0089174 -.0231612
T   50  2 .3152918E+07   1800006E-01  .6146E+03 -.1193E+04   .9997630  .0080310 -.0202356
T   51  2 .3102073E+07   1800000E-01 -.7296E+03 -.5437E+03   .9997059 -.0070945 -.0231918
T   52  2 .3182372E+07   1800003E-01 -.1915E+04 -.2892E+03   .9996725 -.0254142 -.0030115
T   53  2 .3136861E+07   1800018E-01  .4544E+03  .7292E+03   .9999334  .0097885  .0061212
T   54  2 .3091937E+07   1800014E-01  .7722E+04  .8111E+04   .9935872  .0765087  .0832516
T   55  2 .3107344E+07   1800015E-01  .1692E+04 -.2501E+03   .9995578  .0295968  .0028739
T   56  2 .3103214E+07   1800008E-01  .3844E+03  .7268E+03   .9999983  .0017305  .0006353
T   57  2 .3139839E+07   1800005E-01  .3647E+03 -.1881E+04   .9999542  .0014094 -.0094635
T   58  2 .3110038E+07   1800017E-01  .4618E+03 -.7983E+03   .9999723 -.0066329  .0033749
T   59  2 .3173720E+07   1800001E-01 -.6981E+03 -.7576E+03   .9998563 -.0087377 -.0145279
T   60  2 .3149590E+07   1800010E-01 -.5841E+03  .2015E+03   .9999281  .0097318 -.0070058
T   61  2 .3124855E+07   1800009E-01 -.4340E+03  .1999E+03   .9999871 -.0027342  .0042834
T   62  2 .3145338E+07   1800015E-01 -.6300E+01  .1202E+04   .9998992  .0081863  .0115975
T   63  2 .3086565E+07   1800000E-01  .1126E+04  .4218E+03   .9999407  .0072596 -.0081201
T   64  2 .3139481E+07   1800004E-01  .2946E+03  .5491E+03   .9999725  .0019873 -.0071498
T   65  2 .3139478E+07   1800015E-01 -.2820E+03 -.1563E+04   .9998949 -.0047256 -.0137027
T   66  2 .3201547E+07   1800017E-01 -.2345E+03 -.1364E+04   .9998793  .0030714 -.0152329
T   67  2 .3140673E+07   1800011E-01  .1009E+04  .8565E+03   .9999081  .0126032  .0049868
T   68  2 .3145206E+07   1800012E-01  .6617E+03  .6443E+03   .9999950 -.0010269  .0029788
T   69  2 .3101981E+07   1800004E-01 -.1820E+04 -.1552E+04   .9998240 -.0174979 -.0067719
T   70  2 .3133986E+07   1800009E-01 -.1823E+02 -.6595E+03   .9998197  .0126008 -.0142043
T   71  2 .3194546E+07   1800008E-01 -.1580E+04  .1128E+04   .9996942 -.0186441  .0162458
T   72  2 .3133196E+07   1800000E-01 -.3178E+04 -.2116E+03   .9998064 -.0193490  .0035881
T   73  2 .3176547E+07   1800017E-01  .3341E+04 -.4528E+03   .9996439  .0253860 -.0082207
T   74  2 .3142860E+07   1800001E-01  .4717E+03 -.4582E+03   .9999970  .0024245  .0003407
T   75  2 .3100335E+07   1800010E-01  .2312E+04  .1813E+04   .9995761  .0172648  .0234418
T   76  2 .3098141E+07   1800003E-01 -.7110E+03  .1290E+04   .9997311 -.0180655  .0145416
T   77  2 .3113985E+07   1800012E-01 -.1101E+04  .3006E+02   .9999701 -.0042844 -.0064325
T   78  2 .3119049E+07   1800011E-01  .3277E+04 -.2552E+04   .9999738  .0064192  .0033450
T   79  2 .3144670E+07   1800018E-01 -.9660E+03  .4300E+04   .9987860  .0036808  .0491228
T   80  2 .3099963E+07   1800006E-01  .1027E+04 -.1689E+02   .9999563 -.0010414  .0092958
T   81  2 .3174631E+07   1800018E-01  .6366E+03  .1012E+04   .9999316 -.0085866  .0079433
